[BNB, SKY, BTC, NAS], 17.128525185523113
[BNB, SKY, BTC, XEM], 5.45848
[BNB, SKY, BTC, NAV], 5.6304
[BNB, SKY, BTC, GTO], 8.809880999999999
[BNB, SKY, BTC, WTC], 3.282432
[BNB, SKY, BTC, ZRX], 8.11688
[BNB, SKY, BTC, POA], 12.769808
[BNB, SKY, BTC, OMG], 4.131816
[BNB, SKY, BTC, CMT], 9.712032
[BNB, SKY, BTC, HOT], 0.1072968
[BNB, SKY, BTC, CVC], 8.13375
[BNB, SKY, BTC, CND], 6.040584
[BNB, SKY, BTC, RCN], 9.05904
[BNB, SKY, BTC, FTM], 0.7171960000000001
[BNB, SKY, BTC, BTS], 10.83104
[BNB, SKY, BTC, BTT], 17.70086955
[BNB, SKY, BTC, ONE], 17.081910682730925
[BNB, SKY, BTC, RLC], 1.298375
[BNB, SKY, BTC, ONG], 9.034224
[BNB, SKY, BTC, PHB], 0.012844
[BNB, SKY, BTC, GNT], 10.380064
[BNB, SKY, BTC, BLZ], 11.320518000000002
[BNB, SKY, BTC, ONT], 5.7487200000000005
[BNB, SKY, BTC, RDN], 9.55998
[BNB, SKY, BTC, QSP], 4.686752
[BNB, SKY, BTC, FET], 4.511239999999999
[BNB, SKY, BTC, ETC], 0.749821
[BNB, SKY, BTC], 17.00767253364111
[BNB, SKY, BTC, MCO], 8.1162
[BNB, SKY, BTC, ETH], 17.02352334820414
[BNB, SKY, BTC, NEO], 17.051218138907622
[BNB, SKY, BTC, ZEC], 4.268508
[BNB, SKY, BTC, REN], 17.24165861423221
[BNB, SKY, BTC, REP], 11.815062000000001
[BNB, SKY, BTC, ADA], 17.041283612565447
[BNB, SKY, BTC, ICX], 1.304072
[BNB, SKY, BTC, XZC], 17.07381778283485
[BNB, SKY, BTC, ZEN], 10.192265
[BNB, SKY, BTC, VET], 13.2028321
[BNB, SKY, BTC, PAX], NaN
[BNB, SKY, BTC, QLC], 9.079377999999998
[BNB, SKY, BTC, RVN], 0.7398
[BNB, SKY, BTC, ADX], 16.96559
[BNB, SKY, BTC, AMB], 13.30771
[BNB, SKY, BTC, XRP], 14.586575999999999
[BNB, SKY, BTC, TRX], 17.085537353760447
[BNB, SKY, BTC, LSK], 1.7694880000000002
[BNB, SKY, BTC, SYS], 17.068039174454828
[BNB, SKY, BTC, DCR], 14.348004
[BNB, SKY, BTC, LTC], 17.05112900924164
[BNB, SKY, BTC, ENJ], 7.322509999999999
[BNB, SKY, BTC, WAN], 13.683480000000001
[BNB, SKY, BTC, NXS], 17.235510759493675
[BNB, SKY, BTC, DLT], 8.772828
[BNB, SKY, BTC, XLM], 17.057622720478324
[BNB, SKY, BTC, MFT], 17.413728285714285
[BNB, SKY, BTC, AGI], 4.391101
[BNB, SKY, BTC, EOS], 7.941700000000001
[BNB, SKY, BTC, VIA], 8.17452
[BNB, SKY, BTC, OST], 1.76136
[BNB, SKY, BTC, BRD], 10.36125
[BNB, SKY, BTC, BAT], 6.511736
[BNB, SKY, BTC, ZIL], 4.163952
[BNB, SKY, BTC, XMR], 1.26469
[BNB, SKY, ETH, NAS], 0.3494559275630845
[BNB, SKY, ETH, XEM], 0.34857790518463727
[BNB, SKY, ETH, NAV], 0.3531589293849658
[BNB, SKY, ETH, GTO], 0.3498648337595908
[BNB, SKY, ETH, WTC], 0.3495540290462644
[BNB, SKY, ETH, ZRX], 0.3477428976014176
[BNB, SKY, ETH, POA], 0.3509385276559016
[BNB, SKY, ETH, OMG], 0.3486986176470588
[BNB, SKY, ETH, CMT], 0.34854795297932717
[BNB, SKY, ETH, HOT], 0.1072968
[BNB, SKY, ETH, BTC], 0.346606843873777
[BNB, SKY, ETH, CVC], 0.3499688242412662
[BNB, SKY, ETH, CND], 0.35465178618956084
[BNB, SKY, ETH, RCN], 0.3528002208201893
[BNB, SKY, ETH, BTS], 0.34973634687910504
[BNB, SKY, ETH, RLC], 0.3508840546657382
[BNB, SKY, ETH, GNT], 0.35006891335026824
[BNB, SKY, ETH, BLZ], 0.3527459366162037
[BNB, SKY, ETH, ONT], 0.34748622338438556
[BNB, SKY, ETH, RDN], 0.35188323470373956
[BNB, SKY, ETH, QSP], 0.3508651997251938
[BNB, SKY, ETH, ETC], 0.34726084067721663
[BNB, SKY, ETH], 0.34690593023698124
[BNB, SKY, ETH, MCO], 0.34889889097234006
[BNB, SKY, ETH, NEO], 0.3479889930338134
[BNB, SKY, ETH, ZEC], 0.34795213824839916
[BNB, SKY, ETH, REP], 0.3488451912568306
[BNB, SKY, ETH, ADA], 0.3469973790322581
[BNB, SKY, ETH, ICX], 0.3480375586258402
[BNB, SKY, ETH, XZC], 0.34805810983998947
[BNB, SKY, ETH, ZEN], 0.3513476419370229
[BNB, SKY, ETH, VET], 0.34731751581463777
[BNB, SKY, ETH, PAX], NaN
[BNB, SKY, ETH, QLC], 0.349907061485969
[BNB, SKY, ETH, ADX], 0.3489344431781179
